# x_norm y_norm Actual_u
5.148047e-01 8.572666e-01 4.340180e-01
5.076370e-01 8.604579e-01 4.253100e-01
5.004692e-01 8.636491e-01 4.163350e-01
4.933014e-01 8.668403e-01 4.071070e-01
4.861336e-01 8.700316e-01 3.976410e-01
4.789658e-01 8.732228e-01 3.879520e-01
4.717981e-01 8.764150e-01 3.780540e-01
4.646303e-01 8.796063e-01 3.679650e-01
4.574625e-01 8.827975e-01 3.576980e-01
4.502937e-01 8.859888e-01 3.472710e-01
4.431259e-01 8.891800e-01 3.366990e-01
4.359582e-01 8.923712e-01 3.259980e-01
4.287904e-01 8.955625e-01 3.151850e-01
4.216226e-01 8.987537e-01 3.042750e-01
4.144548e-01 9.019450e-01 2.932850e-01
4.072870e-01 9.051362e-01 2.822310e-01
4.001192e-01 9.083274e-01 2.711300e-01
3.929515e-01 9.115197e-01 2.599980e-01
3.857837e-01 9.147109e-01 2.488510e-01
3.786159e-01 9.179021e-01 2.377060e-01
3.714481e-01 9.210934e-01 2.265800e-01
3.642803e-01 9.242846e-01 2.154880e-01
3.571126e-01 9.274759e-01 2.044460e-01
3.499448e-01 9.306671e-01 1.934710e-01
3.427770e-01 9.338583e-01 1.825790e-01
3.356082e-01 9.370496e-01 1.717860e-01
3.284404e-01 9.402408e-01 1.611070e-01
3.212727e-01 9.434321e-01 1.505570e-01
3.141049e-01 9.466243e-01 1.401530e-01
3.069371e-01 9.498155e-01 1.299090e-01
2.997693e-01 9.530068e-01 1.198400e-01
2.926015e-01 9.561980e-01 1.099610e-01
5.546202e-01 8.309504e-01 4.999490e-01
5.474524e-01 8.341416e-01 4.931980e-01
5.402846e-01 8.373339e-01 4.860900e-01
5.331168e-01 8.405251e-01 4.786370e-01
5.259491e-01 8.437164e-01 4.708530e-01
5.187813e-01 8.469076e-01 4.627510e-01
5.116135e-01 8.500988e-01 4.543450e-01
5.044457e-01 8.532901e-01 4.456480e-01
4.972779e-01 8.564813e-01 4.366760e-01
4.901102e-01 8.596726e-01 4.274420e-01
4.829424e-01 8.628638e-01 4.179620e-01
4.757746e-01 8.660550e-01 4.082500e-01
4.686068e-01 8.692463e-01 3.983220e-01
4.614380e-01 8.724385e-01 3.881930e-01
4.542703e-01 8.756297e-01 3.778790e-01
4.471025e-01 8.788210e-01 3.673950e-01
4.399347e-01 8.820122e-01 3.567570e-01
4.327669e-01 8.852035e-01 3.459830e-01
4.255991e-01 8.883947e-01 3.350860e-01
4.184314e-01 8.915859e-01 3.240850e-01
4.112636e-01 8.947772e-01 3.129950e-01
4.040958e-01 8.979684e-01 3.018320e-01
3.969280e-01 9.011596e-01 2.906140e-01
3.897602e-01 9.043509e-01 2.793560e-01
3.825924e-01 9.075431e-01 2.680740e-01
3.754247e-01 9.107344e-01 2.567860e-01
3.682569e-01 9.139256e-01 2.455080e-01
3.610891e-01 9.171168e-01 2.342550e-01
3.539213e-01 9.203081e-01 2.230440e-01
3.467525e-01 9.234993e-01 2.118920e-01
3.395848e-01 9.266906e-01 2.008150e-01
3.324170e-01 9.298818e-01 1.898270e-01
3.252492e-01 9.330730e-01 1.789460e-01
3.180814e-01 9.362643e-01 1.681860e-01
3.109136e-01 9.394555e-01 1.575640e-01
3.037459e-01 9.426477e-01 1.470930e-01
2.965781e-01 9.458390e-01 1.367910e-01
2.894103e-01 9.490302e-01 1.266700e-01
2.822425e-01 9.522215e-01 1.167460e-01
2.750747e-01 9.554127e-01 1.070340e-01
2.679069e-01 9.586039e-01 9.754600e-02
2.607392e-01 9.617952e-01 8.829800e-02
2.535714e-01 9.649864e-01 7.930100e-02
2.464036e-01 9.681777e-01 7.057000e-02
5.872689e-01 8.078264e-01 5.474060e-01
5.801001e-01 8.110177e-01 5.427090e-01
5.729323e-01 8.142089e-01 5.375890e-01
5.657645e-01 8.174002e-01 5.320580e-01
5.585967e-01 8.205914e-01 5.261270e-01
5.514290e-01 8.237826e-01 5.198070e-01
5.442612e-01 8.269739e-01 5.131100e-01
5.370934e-01 8.301651e-01 5.060480e-01
