# x_norm y_norm Predicted_u
5.148047e-01 8.572666e-01 4.433305e-01
5.076370e-01 8.604579e-01 4.342065e-01
5.004692e-01 8.636491e-01 4.255544e-01
4.933014e-01 8.668403e-01 4.164978e-01
4.861336e-01 8.700316e-01 4.073898e-01
4.789658e-01 8.732228e-01 3.976372e-01
4.717981e-01 8.764150e-01 3.875024e-01
4.646303e-01 8.796063e-01 3.776162e-01
4.574625e-01 8.827975e-01 3.670450e-01
4.502937e-01 8.859888e-01 3.569033e-01
4.431259e-01 8.891800e-01 3.464004e-01
4.359582e-01 8.923712e-01 3.363271e-01
4.287904e-01 8.955625e-01 3.248329e-01
4.216226e-01 8.987537e-01 3.142762e-01
4.144548e-01 9.019450e-01 3.033708e-01
4.072870e-01 9.051362e-01 2.921702e-01
4.001192e-01 9.083274e-01 2.814800e-01
3.929515e-01 9.115197e-01 2.706426e-01
3.857837e-01 9.147109e-01 2.596717e-01
3.786159e-01 9.179021e-01 2.487468e-01
3.714481e-01 9.210934e-01 2.379045e-01
3.642803e-01 9.242846e-01 2.267783e-01
3.571126e-01 9.274759e-01 2.160949e-01
3.499448e-01 9.306671e-01 2.050217e-01
3.427770e-01 9.338583e-01 1.945647e-01
3.356082e-01 9.370496e-01 1.841495e-01
3.284404e-01 9.402408e-01 1.740595e-01
3.212727e-01 9.434321e-01 1.637039e-01
3.141049e-01 9.466243e-01 1.534711e-01
3.069371e-01 9.498155e-01 1.437399e-01
2.997693e-01 9.530068e-01 1.341454e-01
2.926015e-01 9.561980e-01 1.244997e-01
5.546202e-01 8.309504e-01 5.079130e-01
5.474524e-01 8.341416e-01 5.014009e-01
5.402846e-01 8.373339e-01 4.945563e-01
5.331168e-01 8.405251e-01 4.868249e-01
5.259491e-01 8.437164e-01 4.795852e-01
5.187813e-01 8.469076e-01 4.715524e-01
5.116135e-01 8.500988e-01 4.629898e-01
5.044457e-01 8.532901e-01 4.546883e-01
4.972779e-01 8.564813e-01 4.457881e-01
4.901102e-01 8.596726e-01 4.359263e-01
4.829424e-01 8.628638e-01 4.265230e-01
4.757746e-01 8.660550e-01 4.167261e-01
4.686068e-01 8.692463e-01 4.074782e-01
4.614380e-01 8.724385e-01 3.972360e-01
4.542703e-01 8.756297e-01 3.866705e-01
4.471025e-01 8.788210e-01 3.765647e-01
4.399347e-01 8.820122e-01 3.658352e-01
4.327669e-01 8.852035e-01 3.548826e-01
4.255991e-01 8.883947e-01 3.441470e-01
4.184314e-01 8.915859e-01 3.332715e-01
4.112636e-01 8.947772e-01 3.223155e-01
4.040958e-01 8.979684e-01 3.110050e-01
3.969280e-01 9.011596e-01 2.999414e-01
3.897602e-01 9.043509e-01 2.889335e-01
3.825924e-01 9.075431e-01 2.777239e-01
3.754247e-01 9.107344e-01 2.671341e-01
3.682569e-01 9.139256e-01 2.554115e-01
3.610891e-01 9.171168e-01 2.443255e-01
3.539213e-01 9.203081e-01 2.332391e-01
3.467525e-01 9.234993e-01 2.222224e-01
3.395848e-01 9.266906e-01 2.116641e-01
3.324170e-01 9.298818e-01 2.010547e-01
3.252492e-01 9.330730e-01 1.906680e-01
3.180814e-01 9.362643e-01 1.802999e-01
3.109136e-01 9.394555e-01 1.697917e-01
3.037459e-01 9.426477e-01 1.596661e-01
2.965781e-01 9.458390e-01 1.495645e-01
2.894103e-01 9.490302e-01 1.395837e-01
2.822425e-01 9.522215e-01 1.302453e-01
2.750747e-01 9.554127e-01 1.210456e-01
2.679069e-01 9.586039e-01 1.118681e-01
2.607392e-01 9.617952e-01 1.031063e-01
2.535714e-01 9.649864e-01 9.417462e-02
2.464036e-01 9.681777e-01 8.642197e-02
5.872689e-01 8.078264e-01 5.543619e-01
5.801001e-01 8.110177e-01 5.495862e-01
5.729323e-01 8.142089e-01 5.448719e-01
5.657645e-01 8.174002e-01 5.394857e-01
5.585967e-01 8.205914e-01 5.336729e-01
5.514290e-01 8.237826e-01 5.275249e-01
5.442612e-01 8.269739e-01 5.210489e-01
5.370934e-01 8.301651e-01 5.139599e-01
5.299256e-01 8.333573e-01 5.065172e-01
5.227578e-01 8.365486e-01 4.992062e-01
5.155900e-01 8.397398e-01 4.910536e-01
5.084223e-01 8.429311e-01 4.821632e-01
5.012545e-01 8.461223e-01 4.740175e-01
4.940867e-01 8.493135e-01 4.645941e-01
4.869189e-01 8.525048e-01 4.556342e-01
4.797511e-01 8.556960e-01 4.461722e-01
4.725834e-01 8.588872e-01 4.364098e-01
4.654146e-01 8.620785e-01 4.265054e-01
4.582468e-01 8.652697e-01 4.160736e-01
4.510790e-01 8.684620e-01 4.062260e-01
4.439112e-01 8.716532e-01 3.955715e-01
4.367435e-01 8.748444e-01 3.845729e-01
4.295757e-01 8.780357e-01 3.740214e-01
4.224079e-01 8.812269e-01 3.631035e-01
4.152401e-01 8.844182e-01 3.520932e-01
4.080723e-01 8.876094e-01 3.405249e-01
4.009046e-01 8.908006e-01 3.293128e-01
3.937368e-01 8.939919e-01 3.181061e-01
3.865690e-01 8.971831e-01 3.070304e-01
3.794012e-01 9.003743e-01 2.958729e-01
3.722334e-01 9.035666e-01 2.843345e-01
3.650656e-01 9.067578e-01 2.731451e-01
3.578979e-01 9.099491e-01 2.617279e-01
3.507291e-01 9.131403e-01 2.506626e-01
3.435613e-01 9.163315e-01 2.394577e-01
3.363935e-01 9.195228e-01 2.283467e-01
3.292257e-01 9.227140e-01 2.173623e-01
3.220580e-01 9.259053e-01 2.068512e-01
3.148902e-01 9.290965e-01 1.960560e-01
3.077224e-01 9.322877e-01 1.856591e-01
3.005546e-01 9.354800e-01 1.752861e-01
2.933868e-01 9.386712e-01 1.650554e-01
2.862191e-01 9.418624e-01 1.547563e-01
2.790513e-01 9.450537e-01 1.450691e-01
2.718835e-01 9.482449e-01 1.353064e-01
