x y z Ax Ay Az
-0.681526 -0.731216 0.0 0.0 0.0 0.629275
-0.675181 -0.735826 0.0 0.0 0.0 0.628929
-0.668836 -0.740436 0.0 0.0 0.0 0.627998
-0.662491 -0.745046 0.0 0.0 0.0 0.626485
-0.656145 -0.749656 0.0 0.0 0.0 0.624396
-0.649800 -0.754266 0.0 0.0 0.0 0.621736
-0.643455 -0.758876 0.0 0.0 0.0 0.618510
-0.637110 -0.763486 0.0 0.0 0.0 0.614726
-0.630764 -0.768096 0.0 0.0 0.0 0.610392
-0.624419 -0.772706 0.0 0.0 0.0 0.605515
-0.618074 -0.777316 0.0 0.0 0.0 0.600104
-0.611729 -0.781926 0.0 0.0 0.0 0.594169
-0.605383 -0.786536 0.0 0.0 0.0 0.587719
-0.599038 -0.791147 0.0 0.0 0.0 0.580766
-0.592693 -0.795757 0.0 0.0 0.0 0.573319
-0.586348 -0.800367 0.0 0.0 0.0 0.565392
-0.580003 -0.804977 0.0 0.0 0.0 0.556997
-0.573657 -0.809587 0.0 0.0 0.0 0.548146
-0.567312 -0.814197 0.0 0.0 0.0 0.538853
-0.560967 -0.818807 0.0 0.0 0.0 0.529131
-0.554622 -0.823417 0.0 0.0 0.0 0.518996
-0.548276 -0.828027 0.0 0.0 0.0 0.508462
-0.541931 -0.832637 0.0 0.0 0.0 0.497544
-0.535586 -0.837247 0.0 0.0 0.0 0.486259
-0.529241 -0.841857 0.0 0.0 0.0 0.474622
-0.522895 -0.846468 0.0 0.0 0.0 0.462651
-0.516550 -0.851078 0.0 0.0 0.0 0.450362
-0.510205 -0.855688 0.0 0.0 0.0 0.437773
-0.503860 -0.860298 0.0 0.0 0.0 0.424901
-0.497515 -0.864908 0.0 0.0 0.0 0.411766
-0.491169 -0.869518 0.0 0.0 0.0 0.398384
-0.484824 -0.874128 0.0 0.0 0.0 0.384775
-0.714988 -0.697210 0.0 0.0 0.0 0.635398
-0.708642 -0.701820 0.0 0.0 0.0 0.638683
-0.702297 -0.706430 0.0 0.0 0.0 0.641372
-0.695952 -0.711040 0.0 0.0 0.0 0.643465
-0.689607 -0.715650 0.0 0.0 0.0 0.644962
-0.683261 -0.720260 0.0 0.0 0.0 0.645864
-0.676916 -0.724870 0.0 0.0 0.0 0.646174
-0.670571 -0.729480 0.0 0.0 0.0 0.645894
-0.664226 -0.734090 0.0 0.0 0.0 0.645027
-0.657880 -0.738701 0.0 0.0 0.0 0.643577
-0.651535 -0.743311 0.0 0.0 0.0 0.641549
-0.645190 -0.747921 0.0 0.0 0.0 0.638949
-0.638845 -0.752531 0.0 0.0 0.0 0.635782
-0.632500 -0.757141 0.0 0.0 0.0 0.632055
-0.626154 -0.761751 0.0 0.0 0.0 0.627776
-0.619809 -0.766361 0.0 0.0 0.0 0.622953
-0.613464 -0.770971 0.0 0.0 0.0 0.617594
-0.607119 -0.775581 0.0 0.0 0.0 0.611708
-0.600773 -0.780191 0.0 0.0 0.0 0.605306
-0.594428 -0.784801 0.0 0.0 0.0 0.598398
-0.588083 -0.789411 0.0 0.0 0.0 0.590994
-0.581738 -0.794021 0.0 0.0 0.0 0.583108
-0.575392 -0.798632 0.0 0.0 0.0 0.574751
-0.569047 -0.803242 0.0 0.0 0.0 0.565935
-0.562702 -0.807852 0.0 0.0 0.0 0.556675
-0.556357 -0.812462 0.0 0.0 0.0 0.546983
-0.550012 -0.817072 0.0 0.0 0.0 0.536876
-0.543666 -0.821682 0.0 0.0 0.0 0.526366
-0.537321 -0.826292 0.0 0.0 0.0 0.515470
-0.530976 -0.830902 0.0 0.0 0.0 0.504203
-0.524631 -0.835512 0.0 0.0 0.0 0.492582
-0.518285 -0.840122 0.0 0.0 0.0 0.480623
-0.511940 -0.844732 0.0 0.0 0.0 0.468343
-0.505595 -0.849342 0.0 0.0 0.0 0.455760
-0.499250 -0.853953 0.0 0.0 0.0 0.442891
-0.492904 -0.858563 0.0 0.0 0.0 0.429754
-0.486559 -0.863173 0.0 0.0 0.0 0.416368
-0.480214 -0.867783 0.0 0.0 0.0 0.402752
-0.473869 -0.872393 0.0 0.0 0.0 0.388923
-0.467524 -0.877003 0.0 0.0 0.0 0.374903
-0.461178 -0.881613 0.0 0.0 0.0 0.360709
-0.454833 -0.886223 0.0 0.0 0.0 0.346361
-0.448488 -0.890833 0.0 0.0 0.0 0.331880
-0.442143 -0.895443 0.0 0.0 0.0 0.317285
-0.742104 -0.667814 0.0 0.0 0.0 0.626064
-0.735758 -0.672424 0.0 0.0 0.0 0.632370
-0.729413 -0.677034 0.0 0.0 0.0 0.638091
-0.723068 -0.681644 0.0 0.0 0.0 0.643224
-0.716723 -0.686254 0.0 0.0 0.0 0.647765
-0.710377 -0.690865 0.0 0.0 0.0 0.651713
-0.704032 -0.695475 0.0 0.0 0.0 0.655064
-0.697687 -0.700085 0.0 0.0 0.0 0.657819
-0.691342 -0.704695 0.0 0.0 0.0 0.659977
-0.684997 -0.709305 0.0 0.0 0.0 0.661539
-0.678651 -0.713915 0.0 0.0 0.0 0.662506
-0.672306 -0.718525 0.0 0.0 0.0 0.662878
-0.665961 -0.723135 0.0 0.0 0.0 0.662660
-0.659616 -0.727745 0.0 0.0 0.0 0.661854
-0.653270 -0.732355 0.0 0.0 0.0 0.660465
-0.646925 -0.736965 0.0 0.0 0.0 0.658496
-0.640580 -0.741575 0.0 0.0 0.0 0.655953
-0.634235 -0.746186 0.0 0.0 0.0 0.652842
-0.627889 -0.750796 0.0 0.0 0.0 0.649170
-0.621544 -0.755406 0.0 0.0 0.0 0.644943
-0.615199 -0.760016 0.0 0.0 0.0 0.640170
-0.608854 -0.764626 0.0 0.0 0.0 0.634860
-0.602509 -0.769236 0.0 0.0 0.0 0.629021
-0.596163 -0.773846 0.0 0.0 0.0 0.622664
-0.589818 -0.778456 0.0 0.0 0.0 0.615798
-0.583473 -0.783066 0.0 0.0 0.0 0.608435
-0.577128 -0.787676 0.0 0.0 0.0 0.600587
-0.570782 -0.792286 0.0 0.0 0.0 0.592265
-0.564437 -0.796896 0.0 0.0 0.0 0.583482
-0.558092 -0.801507 0.0 0.0 0.0 0.574252
-0.551747 -0.806117 0.0 0.0 0.0 0.564588
-0.545401 -0.810727 0.0 0.0 0.0 0.554505
-0.539056 -0.815337 0.0 0.0 0.0 0.544017
-0.532711 -0.819947 0.0 0.0 0.0 0.533140
-0.526366 -0.824557 0.0 0.0 0.0 0.521890
-0.520021 -0.829167 0.0 0.0 0.0 0.510281
-0.513675 -0.833777 0.0 0.0 0.0 0.498332
-0.507330 -0.838387 0.0 0.0 0.0 0.486059
-0.500985 -0.842997 0.0 0.0 0.0 0.473479
-0.494640 -0.847607 0.0 0.0 0.0 0.460610
-0.488294 -0.852217 0.0 0.0 0.0 0.447470
-0.481949 -0.856827 0.0 0.0 0.0 0.434077
-0.475604 -0.861438 0.0 0.0 0.0 0.420451
-0.469259 -0.866048 0.0 0.0 0.0 0.406609
-0.462913 -0.870658 0.0 0.0 0.0 0.392571
-0.456568 -0.875268 0.0 0.0 0.0 0.378357
-0.450223 -0.879878 0.0 0.0 0.0 0.363985
-0.443878 -0.884488 0.0 0.0 0.0 0.349476
-0.437533 -0.889098 0.0 0.0 0.0 0.334850
-0.431187 -0.893708 0.0 0.0 0.0 0.320126
-0.424842 -0.898318 0.0 0.0 0.0 0.305324
-0.418497 -0.902928 0.0 0.0 0.0 0.290466
-0.412152 -0.907538 0.0 0.0 0.0 0.275571
-0.405806 -0.912148 0.0 0.0 0.0 0.260659
-0.769220 -0.638419 0.0 0.0 0.0 0.601430
-0.762874 -0.643029 0.0 0.0 0.0 0.610641
-0.756529 -0.647639 0.0 0.0 0.0 0.619297
-0.750184 -0.652249 0.0 0.0 0.0 0.627390
-0.743839 -0.656859 0.0 0.0 0.0 0.634915
-0.737494 -0.661469 0.0 0.0 0.0 0.641864
-0.731148 -0.666079 0.0 0.0 0.0 0.648234
-0.724803 -0.670689 0.0 0.0 0.0 0.654019
-0.718458 -0.675299 0.0 0.0 0.0 0.659216
-0.712113 -0.679909 0.0 0.0 0.0 0.663821
-0.705767 -0.684519 0.0 0.0 0.0 0.667832
-0.699422 -0.689129 0.0 0.0 0.0 0.671246
-0.693077 -0.693740 0.0 0.0 0.0 0.674064
-0.686732 -0.698350 0.0 0.0 0.0 0.676285
-0.680386 -0.702960 0.0 0.0 0.0 0.677908
-0.674041 -0.707570 0.0 0.0 0.0 0.678936
-0.667696 -0.712180 0.0 0.0 0.0 0.679369
-0.661351 -0.716790 0.0 0.0 0.0 0.679210
-0.655006 -0.721400 0.0 0.0 0.0 0.678463
-0.648660 -0.726010 0.0 0.0 0.0 0.677130
-0.642315 -0.730620 0.0 0.0 0.0 0.675217
-0.635970 -0.735230 0.0 0.0 0.0 0.672728
-0.629625 -0.739840 0.0 0.0 0.0 0.669671
-0.623279 -0.744450 0.0 0.0 0.0 0.666050
-0.616934 -0.749060 0.0 0.0 0.0 0.661873
-0.610589 -0.753671 0.0 0.0 0.0 0.657148
-0.604244 -0.758281 0.0 0.0 0.0 0.651884
-0.597898 -0.762891 0.0 0.0 0.0 0.646089
-0.591553 -0.767501 0.0 0.0 0.0 0.639774
-0.585208 -0.772111 0.0 0.0 0.0 0.632948
-0.578863 -0.776721 0.0 0.0 0.0 0.625623
-0.572518 -0.781331 0.0 0.0 0.0 0.617809
-0.566172 -0.785941 0.0 0.0 0.0 0.609520
-0.559827 -0.790551 0.0 0.0 0.0 0.600768
-0.553482 -0.795161 0.0 0.0 0.0 0.591566
-0.547137 -0.799771 0.0 0.0 0.0 0.581927
